timestamp,temperature,ph,turbidity,tds
2026-09-07T16:50:20.958Z,-68.75,5.48,1090.4,-323.8
2026-09-07T16:50:36.510Z,-68.75,5.48,1090.8,-324.5
2026-09-07T16:50:52.350Z,-68.75,5.45,1091.2,-325.1
2026-09-07T16:54:58.822Z,-68.75,5.47,1091.8,-325.6
2026-09-07T16:56:26.878Z,-68.75,5.47,1093.6,-319.6
2026-09-07T16:56:41.790Z,-68.75,5.5,1092.3,-320.6
2026-09-07T16:58:07.966Z,-68.75,5.34,1092.4,-318.8
2026-09-07T16:58:23.422Z,-68.75,5.44,1094.8,-313.3
2026-09-07T16:58:38.398Z,-68.75,5.44,1094.8,-315.1
2026-09-07T16:58:53.206Z,-68.75,5.49,1092.4,-317.2
2026-09-07T16:59:40.294Z,-68.75,5.48,1094.2,-318.5
2026-09-07T16:59:55.230Z,-68.75,5.49,1093.4,-318.4
2026-09-07T17:00:09.886Z,-68.75,5.46,1094.6,-313.2
2026-09-07T17:00:24.606Z,-68.75,5.45,1093.2,-317.8
2026-09-07T17:00:40.318Z,-68.75,5.47,1093.8,-318.1
2026-09-07T17:01:17.086Z,-68.75,5.47,1094.2,-316.5
2026-09-07T17:02:24.222Z,-68.75,5.49,1092.2,-318.7
2026-09-07T17:02:39.134Z,-68.75,5.47,1094.4,-314.8
2026-09-07T17:02:53.854Z,-68.75,5.47,1092.5,-318.1
2026-09-07T17:03:08.446Z,-68.75,5.48,1092.5,-316.6
2026-09-07T17:04:16.414Z,-68.75,5.5,1092.2,-317.2
2026-09-07T17:04:31.358Z,-68.75,5.49,1094.6,-315.9
2026-09-07T17:04:45.950Z,-68.75,5.47,1093.2,-315.1
2026-09-07T17:05:00.702Z,-68.75,5.48,1094.9,-312.2
2026-09-07T17:05:15.278Z,-68.75,5.47,1095.4,-316.9
2026-09-07T17:05:29.830Z,-68.75,5.5,1093.9,-316.5
2026-09-07T17:05:45.214Z,-68.75,5.51,1091.4,-313.6
2026-09-07T17:06:10.742Z,-68.75,5.49,1094,-315.1
2026-09-07T17:06:25.366Z,-68.75,5.51,1092.1,-317.4
2026-09-07T17:06:40.094Z,-68.75,5.49,1095.2,-317.2
2026-09-07T17:06:55.582Z,-68.75,5.51,1091.3,-321.1
2026-09-07T17:07:10.206Z,-68.75,5.5,1092.8,-315.5
2026-09-07T17:07:24.702Z,-68.75,5.5,1092.2,-313.8
2026-09-07T17:07:39.326Z,-68.75,5.48,1095,-313.6
2026-09-07T17:07:53.918Z,-68.75,5.5,1093.2,-316.2
2026-09-07T17:08:09.214Z,-68.75,5.5,1092.5,-312.3
2026-09-07T17:08:23.934Z,-68.75,5.47,1094.8,-314.8
2026-09-07T17:08:38.558Z,-68.75,5.49,1094.9,-315.3
2026-09-07T17:08:53.342Z,-68.75,5.48,1095.2,-313.1
2026-09-07T17:09:07.902Z,-68.75,5.49,1095,-314.8
2026-09-07T17:09:22.942Z,-68.75,5.51,1091.4,-314.7
2026-09-07T17:09:37.566Z,-68.75,5.5,1092.8,-312.3
2026-09-07T17:09:52.254Z,-68.75,5.48,1094.4,-314.8
2026-09-07T17:10:07.038Z,-68.75,5.5,1092.6,-313.8
2026-09-07T17:10:21.758Z,-68.75,5.5,1093.4,-316.3
2026-09-07T17:10:36.870Z,-68.75,5.5,1091.5,-317.7
2026-09-07T17:10:51.742Z,-68.75,5.49,1094.4,-318.4
2026-09-07T17:11:06.982Z,-68.75,5.49,1094,-317.2
2026-09-07T17:11:21.598Z,-68.75,5.5,1092.4,-317
2026-09-07T17:14:48.030Z,-68.75,5.45,1094.3,-315.7
2026-09-07T17:16:15.838Z,-68.75,5.48,1094.2,-316.9
2026-09-07T17:16:31.230Z,-68.75,5.43,1094.7,-314.8
2026-09-07T17:16:46.206Z,-68.75,5.47,1090.6,-319.6
2026-09-07T17:17:01.470Z,-68.75,5.46,1092,-317.7
2026-09-07T17:17:16.094Z,-68.75,5.47,1094.8,-316.3
2026-09-07T17:17:30.654Z,-68.75,5.48,1092.4,-314.1
2026-09-07T17:17:45.758Z,-68.75,5.46,1095,-316.6
2026-09-07T17:18:00.446Z,-68.75,5.46,1094.6,-313.1
2026-09-07T17:18:25.998Z,-68.75,5.49,1092.5,-317.2
2026-09-07T17:18:40.422Z,-68.75,5.47,1094.1,-317.1
2026-09-07T17:18:55.454Z,-68.75,5.48,1092,-316.2
2026-09-07T17:19:10.238Z,-68.75,5.45,1094.6,-311.6
2026-09-07T17:19:24.862Z,-68.75,5.49,1091.4,-315.6
2026-09-07T17:19:40.286Z,-68.75,5.49,1092.4,-311.8
2026-09-07T17:19:54.974Z,-68.75,5.46,1094.8,-314
2026-09-07T17:20:10.030Z,-68.75,5.49,1092.1,-314.8
2026-09-07T17:20:24.758Z,-68.75,5.49,1092.4,-315.4
2026-09-07T17:20:39.486Z,-68.75,5.47,1093.8,-317.4
2026-09-07T17:20:54.398Z,-68.75,5.49,1091.9,-315.4
2026-09-07T17:21:09.086Z,-68.75,5.46,1093.9,-317.8
2026-09-07T17:21:24.606Z,-68.75,5.47,1094.5,-312.8
2026-09-07T17:21:39.326Z,-68.75,5.46,1094.6,-310.9
2026-09-07T17:21:53.790Z,-68.75,5.47,1094.8,-314.7
2026-09-07T17:22:08.574Z,-68.75,5.48,1095,-313.1
2026-09-07T17:22:23.230Z,-68.75,5.51,1094.4,-312.5
2026-09-07T17:22:38.270Z,-68.75,5.51,1092.3,-315.8
2026-09-07T17:22:52.990Z,-68.75,5.5,1092.6,-314.6
2026-09-07T17:23:07.742Z,-68.75,5.49,1095.1,-315.7
2026-09-07T17:23:22.398Z,-68.75,5.51,1092.2,-319
2026-09-07T17:23:37.598Z,-68.75,5.49,1093.5,-318.4
2026-09-07T17:23:52.622Z,-68.75,5.47,1094.6,-315.4
